"NBH_ID","NBH_NAME","POPULATION","WHITE_PC","AFRICA_PC","HIS_PC","ASIAN_PC","OTHER_PC","DENSITY","DEN_RANK","ACRES","Y"
"1","ALLENDALE","6643","0.831702544","0.018967334","0.109739575","0.018967334","0.020623212","5.1","60","1303.483062","2010"
"2","ANDERSON MILL","28473","0.647455484","0.0332947","0.131106662","0.163277491","0.024865662","5.0","62","5706.399565","2010"
"3","AVERY RANCH--LAKELINE","14785","0.58484951","0.039567129","0.140615489","0.20662834","0.028339533","3.2","74","4641.38504","2010"
"4","BARTON CREEK MALL","5147","0.793471925","0.008160093","0.092286769","0.086652419","0.019428793","2.2","84","2318.088291","2010"
"5","BARTON HILLS","8022","0.783719771","0.013836948","0.135627026","0.043380703","0.023435552","3.9","70","2038.095147","2010"
"6","BERGSTROM","179","0.51396648","0.273743017","0.212290503","0.0","0.0","0.0","101","4744.797182","2010"
"7","BLUFF SPRINGS","23000","0.175695652","0.079869565","0.715869565","0.010695652","0.017869565","2.7","81","8431.82211","2010"
"8","BOULDIN","5510","0.585117967","0.052631579","0.327586207","0.013793103","0.020871143","7.1","38","773.251931","2010"
"9","BRENTWOOD","7513","0.731798216","0.027019832","0.177026487","0.039797684","0.02435778","7.4","32","1013.716196","2010"
"10","BRODIE LANE","10913","0.619353065","0.042884633","0.272519014","0.040135618","0.02510767","5.7","52","1920.250838","2010"
"11","BULL CREEK","7655","0.848073155","0.01097322","0.070280862","0.054082299","0.016590464","3.4","73","2247.288311","2010"
"12","CENTRAL EAST AUSTIN","4677","0.307034424","0.242249305","0.418430618","0.014325422","0.017960231","7.5","31","624.7765886","2010"
"13","CENTRAL WEST AUSTIN","10522","0.811632769","0.015491351","0.083159095","0.071184186","0.018532598","5.2","58","2025.474077","2010"
"14","CHERRY CREEK","20143","0.567442784","0.049198233","0.331231693","0.026460805","0.025666485","7.1","41","2854.402938","2010"
"15","CHESTNUT","1777","0.387169387","0.261114237","0.306133934","0.018007878","0.027574564","9.8","14","180.5265696","2010"
"16","CIRCLE C SOUTH","12802","0.72387127","0.016716138","0.120762381","0.112482425","0.026167786","4.0","69","3232.828268","2010"
"17","CORONADO HILLS","3546","0.150592217","0.144952059","0.686689227","0.007332205","0.010434292","10.0","12","356.2655543","2010"
"18","CRESTVIEW","3927","0.790679908","0.01324166","0.149987268","0.024955437","0.021135727","6.0","50","652.7965508","2010"
"19","DAVENPORT--LAKE AUSTIN","5161","0.828521604","0.007169153","0.061422205","0.081379578","0.02150746","1.2","95","4245.462771","2010"
"20","DAWSON","2670","0.494007491","0.025093633","0.434082397","0.023970037","0.022846442","8.5","23","315.1936327","2010"
"21","DECKER LAKE","326","0.199386503","0.217791411","0.576687117","0.0","0.006134969","0.0","100","6866.467562","2010"
"22","DEL VALLE","3520","0.116761364","0.093465909","0.773579545","0.002840909","0.013352273","1.0","96","3568.607605","2010"
"23","DEL VALLE EAST","7526","0.125298964","0.142705288","0.696651608","0.018336434","0.017007707","1.7","88","4415.738495","2010"
"24","DITTMAR--SLAUGHTER","15697","0.416194177","0.054150475","0.489010639","0.020832006","0.019812703","6.2","48","2531.898523","2010"
"25","DOWNTOWN","7635","0.705304519","0.068500327","0.141584807","0.061689587","0.02292076","6.8","44","1117.155873","2010"
"26","EAST CESAR CHAVEZ","3291","0.306289881","0.075660893","0.589486478","0.011850501","0.016712246","7.6","30","430.8455748","2010"
"27","EAST CONGRESS","3104","0.426224227","0.028994845","0.510631443","0.015141753","0.019007732","4.0","67","771.8835461","2010"
"28","EAST OAK HILL","14508","0.717052661","0.023848911","0.154328646","0.082023711","0.022746071","2.9","76","5042.248599","2010"
